Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100000,Male,Yes,3+,Not Graduate,No,2488,1724,85.0,180.0,,Urban,Y
LP100001,Female,Yes,0,Not Graduate,No,3671,1277,98.0,,1.0,Rural,Y
LP100002,,Yes,0,Not Graduate,,2901,1354,132.0,360.0,1.0,Rural,Y
LP100003,Male,Yes,1,Not Graduate,Yes,1824,2745,115.0,360.0,1.0,Urban,Y
LP100004,Male,Yes,2,Graduate,No,5223,1325,145.0,240.0,1.0,Semiurban,Y
LP100005,Male,No,0,Not Graduate,No,9509,0,192.0,240.0,1.0,Rural,Y
LP100006,Male,Yes,2,Not Graduate,No,3288,6647,218.0,360.0,1.0,Semiurban,Y
LP100007,Female,No,3+,Graduate,No,1896,0,50.0,360.0,1.0,Urban,Y
LP100008,Male,Yes,0,Graduate,No,1374,595,50.0,360.0,1.0,Urban,Y
LP100009,,No,3+,Graduate,Yes,3391,0,61.0,360.0,1.0,Semiurban,Y
LP100010,Male,No,0,Graduate,No,5176,0,101.0,,1.0,Rural,Y
LP100011,Female,Yes,0,Graduate,Yes,3780,1493,50.0,240.0,,Semiurban,N
LP100012,Female,Yes,0,Graduate,No,2977,1131,86.0,,1.0,Urban,Y
LP100013,Male,Yes,2,Graduate,No,2220,1547,65.0,360.0,0.0,Urban,N
LP100014,Male,Yes,1,Graduate,No,1726,4717,160.0,360.0,1.0,Rural,Y
LP100015,Male,No,0,Not Graduate,No,4525,0,90.0,240.0,0.0,Rural,N
LP100016,Male,No,0,Graduate,Yes,4707,0,70.0,120.0,1.0,Semiurban,Y
LP100017,Male,No,1,Graduate,No,1376,0,50.0,360.0,1.0,Semiurban,Y
LP100018,Male,Yes,0,Graduate,Yes,6600,906,129.0,,0.0,Urban,N
LP100019,Male,No,2,Graduate,No,3972,0,,360.0,1.0,Rural,Y
LP100020,Male,No,2,Not Graduate,No,6001,0,125.0,360.0,1.0,Rural,Y
LP100021,Male,Yes,0,Graduate,No,1523,3209,113.0,360.0,1.0,Urban,N
LP100022,Male,Yes,3+,Graduate,No,1505,2465,63.0,360.0,1.0,Semiurban,Y
LP100023,Male,No,0,Graduate,Yes,2766,0,56.0,360.0,0.0,Urban,N
LP100024,Male,Yes,,Graduate,No,3832,1784,85.0,360.0,1.0,Urban,Y
LP100025,Female,No,1,Not Graduate,Yes,7318,0,160.0,360.0,1.0,Urban,Y
LP100026,Male,Yes,1,Graduate,No,4243,2044,136.0,360.0,1.0,Urban,Y
LP100027,Male,No,0,Graduate,No,2640,0,62.0,120.0,1.0,Urban,Y
LP100028,Male,Yes,2,Graduate,No,1784,685,50.0,240.0,1.0,Semiurban,Y
LP100029,Male,Yes,0,Graduate,No,5513,2164,161.0,360.0,1.0,Semiurban,Y
LP100030,Male,Yes,0,Graduate,No,1840,3163,132.0,360.0,1.0,Semiurban,Y
LP100031,Male,No,0,Graduate,No,6729,0,128.0,300.0,1.0,Urban,Y
LP100032,Male,No,1,Graduate,No,2585,0,54.0,360.0,0.0,Urban,N
LP100033,Female,No,0,Graduate,No,6603,0,110.0,360.0,1.0,Semiurban,Y
LP100034,Female,Yes,1,Graduate,No,4185,1698,100.0,360.0,1.0,Semiurban,Y
LP100035,Female,Yes,2,Not Graduate,Yes,2783,2289,103.0,360.0,1.0,Urban,Y
LP100036,Male,Yes,0,Not Graduate,No,2299,1161,91.0,360.0,1.0,Rural,Y
LP100037,Male,No,1,Graduate,No,2513,0,50.0,240.0,1.0,Semiurban,Y
LP100038,Male,Yes,0,Not Graduate,No,3692,2383,116.0,360.0,0.0,Rural,N
LP100039,Male,Yes,2,Graduate,Yes,3098,2032,94.0,360.0,1.0,Semiurban,Y
LP100040,Male,Yes,2,Graduate,,2215,980,53.0,240.0,0.0,Urban,N
LP100041,Male,Yes,,Not Graduate,No,2744,2046,101.0,360.0,1.0,Semiurban,Y
LP100042,Male,No,1,Not Graduate,,3100,0,50.0,360.0,1.0,Urban,Y
LP100043,Female,Yes,0,Not Graduate,No,1028,2366,93.0,360.0,1.0,Semiurban,Y
LP100044,Male,Yes,0,Graduate,No,3748,3220,126.0,360.0,1.0,Urban,Y
LP100045,Male,No,2,Graduate,No,1826,0,50.0,360.0,1.0,Rural,Y
LP100046,Male,Yes,0,Not Graduate,Yes,1674,2835,64.0,360.0,0.0,Urban,N
LP100047,Male,Yes,,Graduate,No,1282,2137,81.0,360.0,1.0,Rural,Y
LP100048,Male,No,0,Graduate,No,1215,0,50.0,360.0,0.0,Rural,N
LP100049,Male,Yes,2,Graduate,No,1513,2188,81.0,360.0,1.0,Semiurban,Y
LP100050,Female,Yes,0,Graduate,No,2091,997,50.0,360.0,1.0,Semiurban,Y
LP100051,Female,No,0,Graduate,Yes,7915,0,163.0,360.0,1.0,Semiurban,Y
LP100052,Female,No,1,Graduate,No,2291,0,50.0,360.0,1.0,Rural,Y
LP100053,Female,No,2,Not Graduate,No,3258,0,60.0,360.0,0.0,Semiurban,N
LP100054,Male,Yes,0,Graduate,Yes,3641,885,111.0,240.0,1.0,Rural,Y
LP100055,Female,No,0,Graduate,No,3182,0,79.0,360.0,1.0,Semiurban,Y
LP100056,Male,,0,Graduate,No,2867,2548,108.0,360.0,1.0,Rural,Y
LP100057,Male,Yes,0,Graduate,No,1639,1184,50.0,180.0,1.0,Semiurban,Y
LP100058,Male,No,0,Graduate,Yes,6157,0,136.0,360.0,1.0,Semiurban,Y
LP100059,Male,No,1,Graduate,No,7358,0,147.0,360.0,1.0,Rural,Y
LP100060,Male,Yes,1,Not Graduate,No,1285,1383,50.0,120.0,1.0,Rural,Y
LP100061,Male,Yes,1,Graduate,No,1786,1935,90.0,240.0,1.0,Semiurban,Y
LP100062,Female,Yes,0,Not Graduate,Yes,2591,1454,80.0,360.0,1.0,Urban,Y
LP100063,Male,No,2,Graduate,No,1840,0,60.0,360.0,1.0,Semiurban,Y
LP100064,Male,Yes,0,Graduate,No,3839,1432,83.0,360.0,1.0,Rural,Y
LP100065,Male,Yes,3+,Graduate,No,2071,1505,50.0,180.0,1.0,Rural,Y
LP100066,Male,No,1,Graduate,No,8800,0,181.0,360.0,1.0,Rural,N
LP100067,Female,Yes,0,Not Graduate,No,5406,1189,137.0,360.0,1.0,Urban,Y
LP100068,Male,Yes,1,Graduate,No,3315,4950,131.0,240.0,1.0,Semiurban,Y
LP100069,Female,No,0,Graduate,No,4981,0,80.0,360.0,1.0,Semiurban,Y
LP100070,Female,No,1,Not Graduate,No,5182,0,158.0,180.0,1.0,Rural,Y
LP100071,Male,,,Not Graduate,No,2248,0,50.0,360.0,1.0,Urban,Y
LP100072,,Yes,0,Not Graduate,No,1982,3028,114.0,360.0,1.0,Rural,Y
LP100073,Female,Yes,2,Graduate,No,3099,1896,86.0,360.0,0.0,Semiurban,N
LP100074,Female,Yes,,Not Graduate,No,4586,3582,121.0,120.0,1.0,Urban,Y
LP100075,Female,No,2,Graduate,,3195,0,60.0,360.0,1.0,Urban,Y
LP100076,Female,No,0,Graduate,No,1354,0,50.0,360.0,1.0,Urban,Y
LP100077,Male,No,1,Graduate,No,1995,0,50.0,360.0,1.0,Semiurban,Y
LP100078,Male,No,1,Graduate,No,2872,0,55.0,180.0,1.0,Urban,Y
LP100079,Male,Yes,0,Graduate,No,2870,2065,103.0,300.0,1.0,Urban,Y
LP100080,Female,No,,Graduate,No,7992,0,156.0,360.0,1.0,Rural,Y
LP100081,Male,Yes,0,Not Graduate,No,1490,973,50.0,360.0,1.0,Urban,N
LP100082,Male,Yes,0,Graduate,No,3838,2584,138.0,300.0,1.0,Urban,Y
LP100083,Male,Yes,0,Graduate,No,6276,1269,111.0,360.0,1.0,Semiurban,Y
LP100084,Male,Yes,1,Graduate,No,9281,1670,178.0,360.0,1.0,Semiurban,Y
LP100085,Male,No,3+,Not Graduate,No,2435,0,63.0,360.0,1.0,Rural,Y
LP100086,Female,Yes,2,Graduate,No,3811,734,101.0,120.0,1.0,Semiurban,Y
LP100087,Male,,2,Graduate,No,3963,1133,100.0,360.0,1.0,Rural,Y
LP100088,Female,Yes,2,Not Graduate,Yes,3287,4066,119.0,360.0,0.0,Semiurban,N
LP100089,Male,No,1,Not Graduate,No,2837,0,50.0,360.0,1.0,Urban,N
LP100090,Male,Yes,0,Graduate,No,3707,1741,103.0,,1.0,Urban,Y
LP100091,Female,Yes,3+,Graduate,No,840,2091,50.0,,1.0,Semiurban,Y
LP100092,Female,,1,Not Graduate,No,4192,1515,99.0,360.0,0.0,Semiurban,N
LP100093,Male,Yes,1,Graduate,No,3175,4080,158.0,360.0,1.0,Semiurban,Y
LP100094,Female,No,0,Graduate,No,2667,0,81.0,360.0,1.0,Semiurban,Y
LP100095,Male,No,0,Not Graduate,,8295,0,157.0,360.0,1.0,Semiurban,Y
LP100096,Male,No,0,Graduate,No,2127,0,57.0,180.0,1.0,Urban,Y
LP100097,Male,Yes,2,Graduate,No,2436,1134,50.0,120.0,0.0,Urban,N
LP100098,Male,No,,Graduate,,8068,0,174.0,180.0,1.0,Semiurban,Y
LP100099,Male,,0,Graduate,No,1966,0,50.0,360.0,1.0,Semiurban,Y
LP100100,Male,No,3+,Graduate,,2264,0,51.0,360.0,0.0,Semiurban,N
LP100101,Male,Yes,0,Not Graduate,No,2769,1445,79.0,360.0,1.0,Urban,Y
LP100102,Male,Yes,0,Graduate,No,4538,1563,148.0,240.0,1.0,Semiurban,Y
LP100103,Male,Yes,0,Graduate,No,3307,581,60.0,120.0,1.0,Rural,Y
LP100104,Female,Yes,1,Graduate,No,1561,1376,71.0,120.0,1.0,Urban,Y
LP100105,Male,No,3+,Graduate,No,2284,0,50.0,360.0,1.0,Semiurban,Y
LP100106,Male,No,,Not Graduate,No,2200,0,50.0,360.0,1.0,Rural,Y
LP100107,Female,No,2,Graduate,No,2868,0,53.0,360.0,1.0,Urban,Y
LP100108,Male,Yes,0,Graduate,No,3688,3212,121.0,360.0,1.0,Semiurban,Y
LP100109,Male,Yes,3+,Graduate,No,3674,2047,114.0,360.0,0.0,Urban,N
LP100110,Male,No,2,Graduate,No,1226,0,50.0,240.0,1.0,Semiurban,Y
LP100111,Male,No,2,Graduate,Yes,5074,0,106.0,360.0,0.0,Urban,N
LP100112,Female,No,0,Graduate,No,3382,0,69.0,360.0,1.0,Rural,N
LP100113,Female,Yes,3+,Not Graduate,No,5956,5320,241.0,360.0,1.0,Semiurban,Y
LP100114,Male,No,1,Graduate,,3722,0,92.0,240.0,0.0,Rural,N
LP100115,Female,Yes,0,Graduate,Yes,5170,4884,180.0,360.0,1.0,Semiurban,Y
LP100116,Female,No,2,Graduate,No,3764,0,92.0,360.0,,Semiurban,Y
LP100117,Male,Yes,0,Not Graduate,No,5843,1810,129.0,240.0,,Semiurban,Y
LP100118,Female,,2,Graduate,No,3870,3436,157.0,360.0,1.0,Rural,Y
LP100119,Male,Yes,0,Graduate,No,2838,3878,146.0,360.0,1.0,Rural,Y
LP100120,Female,Yes,1,Graduate,No,9285,1691,181.0,360.0,0.0,Semiurban,N
LP100121,Female,,0,Graduate,No,4649,0,94.0,360.0,1.0,Rural,Y
LP100122,Male,Yes,0,Not Graduate,No,3971,1748,105.0,120.0,1.0,Semiurban,Y
LP100123,Male,Yes,,Graduate,,1574,2214,60.0,180.0,1.0,Semiurban,Y
LP100124,Male,Yes,0,Graduate,No,1565,3086,120.0,360.0,1.0,Semiurban,Y
LP100125,Male,No,0,Not Graduate,No,3450,0,55.0,360.0,1.0,Urban,N
LP100126,Female,Yes,0,Not Graduate,Yes,3205,2621,100.0,360.0,1.0,Urban,Y
LP100127,Female,Yes,1,Not Graduate,No,2192,4832,141.0,360.0,1.0,Urban,Y
LP100128,Male,,0,Not Graduate,No,3198,0,77.0,360.0,1.0,Semiurban,Y
LP100129,Male,Yes,0,Graduate,No,6596,2179,172.0,360.0,0.0,Semiurban,N
LP100130,Male,Yes,1,Graduate,No,4220,726,122.0,360.0,1.0,Semiurban,Y
LP100131,Male,Yes,0,Graduate,No,1684,372,51.0,120.0,1.0,Rural,Y
LP100132,Male,Yes,3+,Graduate,No,2819,2282,58.0,360.0,1.0,Semiurban,Y
LP100133,Male,Yes,2,Graduate,No,1993,1708,63.0,360.0,1.0,Semiurban,Y
LP100134,Female,Yes,1,Graduate,,2455,1327,64.0,360.0,1.0,Urban,N
LP100135,Male,Yes,1,Graduate,No,2424,2092,99.0,240.0,0.0,Urban,N
LP100136,,No,2,Not Graduate,No,2347,0,50.0,360.0,1.0,Rural,Y
LP100137,Female,No,0,Graduate,Yes,1591,0,82.0,360.0,0.0,Semiurban,N
LP100138,Male,Yes,,Not Graduate,No,2796,1903,104.0,360.0,,Rural,N
LP100139,Female,No,0,Graduate,No,2252,0,50.0,,0.0,Urban,N
LP100140,Female,,2,Graduate,No,689,0,50.0,360.0,1.0,Semiurban,Y
LP100141,Male,No,0,Graduate,No,8320,0,213.0,120.0,0.0,Urban,N
LP100142,,Yes,1,Graduate,No,5137,2479,169.0,300.0,1.0,Urban,Y
LP100143,Male,No,3+,Graduate,No,2469,0,,180.0,,Urban,Y
